event_id,timestamp,class,f1,f2,f3,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
811067,1479737872,1,9,16257,172188,10.28731614889355,45344815,0,0,1,0,0,0,0,0,9230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811068,1480609381,0,1,1,1,0,2,1,3,2,10.086909722222222,1,0,0,0,9231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811069,1480670042,1,7,1731,10212,7.460379259341193,2000330,84524,157.62769291030162,1,2.5799793679549525,2442,172188,0,172076,9230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811070,1480673885,0,1,4,12,1.6656027795198116,353,0,0,1,0,0,0,0,0,9232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811071,1480673919,0,2,4,22,0.9197406065273681,6263,4346,684.4090909090909,2,10.341428345959601,21,12,0,0,9232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811072,1480692926,0,1,1,3,0.793340731765411,31,33,1277,2,11.05386574074074,3,34,0,17,9232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811073,1480697906,0,1,1,1,0,20,10,1103,2,11.11150462962963,1,37,0,20,9232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811074,1481216829,0,1,1,2,0.07030441183588172,119,108,952.5,2,17.11755787037037,2,38,0,21,9232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811075,1481290988,0,1,3,9,1.330890941413096,260,185,670.1111111111111,2,17.97587962962963,9,40,0,23,9232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811076,1481549433,1,6,788,6801,7.34714556105513,491555,44374,195.73768563446552,1,6.827745657637596,2226,182400,0,182282,9230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811077,1481634992,1,1,3,11,1.533788942006643,880,873,763.0909090909091,2,21.957407407407405,11,49,0,32,9232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811078,1481641096,0,1,1,1,0,31,31,3141,2,22.028055555555557,1,60,0,43,9232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811079,1481641945,0,1,2,2,0.6236548495681085,19,19,1499,2,22.037881944444443,2,61,0,44,9232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811080,1481707904,1,1,1,1,0,3,2,1244,2,22.801296296296297,1,63,0,5,9232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811081,1481707933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811082,1481707972,1,1,1,1,0,1,0,571,2,22.802083333333332,1,64,0,46,9232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811083,1481735108,1,1,1,6,1.0754954904238843,77,25,565.3333333333334,2,23.116157407407403,6,65,0,47,9232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811084,1483525216,1,6,762,2894,5.270264160283429,142829,120956,603.9841050449205,1,40.83705167460356,2711,189201,0,189083,9230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811085,1483528788,1,3,16,25,1.155885313716614,14,6083,434.76,2,31.59096666666666,18,0,0,0,9233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811086,1484125083,1,6,608,3792,6.004499120464502,36401,51295,295.82726793248946,1,25.219946225727575,1894,192095,0,191977,9230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811087,1484558712,1,5,105,498,4.925735802146427,89143,29140,247.35140562248995,2,16.021960992116664,143,0,0,0,9234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811088,1484650601,0,1,1,1,0,2,2,561,1,1.0635300925925926,1,498,0,36,9234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811089,1484658668,0,1,1,1,0,1,1,46,1,56.953657407407405,1,195887,0,124521,9230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811090,1484728664,0,1,5,137,0.6931471805599453,0,20,0.145985401459854,2,57.763796296296285,137,499,0,95,9234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
